date_time: 2023-01-21T01:33:35.000, MJD: 59964.836121943, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.544715, azimuth: -77.255181, rotator: 105.818387, temperature: 3.3, humidity: 21.9
date_time: 2023-01-21T01:33:36.000, MJD: 59964.836130552, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.541853, azimuth: -77.254076, rotator: 105.819368, temperature: 3.3, humidity: 21.9
date_time: 2023-01-21T01:33:37.000, MJD: 59964.836141031, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.477, altitude: 42.539054, azimuth: -77.253024, rotator: 105.819947, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:38.000, MJD: 59964.836149868, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.535253, azimuth: -77.251568, rotator: 105.821020, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:39.000, MJD: 59964.836162610, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.532111, azimuth: -77.250281, rotator: 105.822116, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:39.000, MJD: 59964.836170261, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.529591, azimuth: -77.249413, rotator: 105.822690, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:40.000, MJD: 59964.836180458, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.527563, azimuth: -77.248643, rotator: 105.823277, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:41.000, MJD: 59964.836191741, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.523755, azimuth: -77.247102, rotator: 105.824550, temperature: 3.3, humidity: 22.0
date_time: 2023-01-21T01:33:42.000, MJD: 59964.836201959, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.520376, azimuth: -77.245908, rotator: 105.825473, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:43.000, MJD: 59964.836208184, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.518096, azimuth: -77.245333, rotator: 105.826111, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:43.000, MJD: 59964.836217037, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.515306, azimuth: -77.243874, rotator: 105.826748, temperature: 3.3, humidity: 22.1
